Date,Visitor,Visitor_Score,Home,Home_Score,OT,Division
2024-11-30,Yale,1,Quinnipiac,1,1,Non-Conference
2024-11-30,Boston College,3,Northeastern,0,0,Hockey East
2024-12-01,Holy Cross,1,Brown,4,0,Non-Conference
2024-12-01,Assumption,0,Rensselaer,6,0,Non-Conference
2024-12-02,Ohio State,5,Mercyhurst,1,0,Non-Conference
2024-12-03,Sacred Heart,1,Quinnipiac,2,0,Non-Conference
2024-12-04,Providence,2,Boston College,4,0,Hockey East
2024-12-04,Northeastern,2,New Hampshire,0,0,Hockey East
2024-12-04,Saint Anselm,3,Long Island,4,1,NEWHA
2024-12-05,Saint Anselm,3,Long Island,4,1,NEWHA
2024-12-06,Sacred Heart,0,Post,3,0,NEWHA
2024-12-06,Saint Michael's,0,Franklin Pierce,5,0,NEWHA
2024-12-06,Assumption,2,Stonehill,1,0,NEWHA
2024-12-06,Vermont,2,Merrimack,1,0,Hockey East
2024-12-06,Boston College,1,Holy Cross,2,1,Hockey East
2024-12-06,Boston University,3,Maine,1,0,Hockey East
2024-12-06,Connecticut,2,New Hampshire,1,0,Hockey East
2024-12-06,Wisconsin,2,Minnesota State,1,0,WCHA
2024-12-06,Minnesota-Duluth,1,St. Cloud State,1,1,WCHA
2024-12-06,Minnesota,5,St. Thomas,0,0,WCHA
2024-12-06,Penn State,4,Mercyhurst,2,0,AHA
2024-12-06,Lindenwood,4,RIT,9,0,AHA
2024-12-06,Robert Morris,1,Syracuse,4,0,AHA
2024-12-06,Dartmouth,3,Clarkson,5,0,ECAC
2024-12-06,Brown,1,Rensselaer,4,0,ECAC
2024-12-06,Harvard,2,St. Lawrence,4,0,ECAC
2024-12-06,Yale,3,Union,1,0,ECAC
2024-12-07,Minnesota-Duluth,3,St. Cloud State,1,0,WCHA
2024-12-07,Wisconsin,5,Minnesota State,0,0,WCHA
2024-12-07,Minnesota,6,St. Thomas,2,0,WCHA
2024-12-07,Penn State,3,Mercyhurst,2,0,AHA
2024-12-07,Lindenwood,2,RIT,4,0,AHA
2024-12-07,Robert Morris,1,Syracuse,4,0,AHA
2024-12-07,Saint Michael's,0,Franklin Pierce,3,0,NEWHA
2024-12-07,Post,1,Sacred Heart,1,1,NEWHA
2024-12-07,Stonehill,2,Assumption,2,1,NEWHA
2024-12-07,Holy Cross,2,Merrimack,3,1,Hockey East
2024-12-07,Connecticut,4,Maine,3,1,Hockey East
2024-12-07,Harvard,1,Clarkson,5,0,ECAC
2024-12-07,Quinnipiac,1,Princeton,2,1,ECAC
2024-12-07,Yale,1,Rensselaer,3,0,ECAC
2024-12-07,Dartmouth,0,St. Lawrence,2,0,ECAC
2024-12-07,Brown,1,Union,4,0,ECAC
2024-12-10,Long Island,2,Princeton,4,0,Non-Conference
2024-12-13,Bemidji State,0,Minnesota State,5,0,WCHA
2024-12-13,Robert Morris,1,Long Island,1,1,Non-Conference
2024-12-14,Bemidji State,3,Minnesota State,5,0,WCHA
2024-12-14,Robert Morris,3,Long Island,1,0,Non-Conference
2024-12-14,Maine,3,Merrimack,2,0,Hockey East
2024-12-30,Dartmouth,2,New Hampshire,1,0,Non-Conference
2024-12-31,Cornell,5,RIT,1,0,Non-Conference
2025-01-01,Bemidji State,1,Minnesota,4,0,Non-Conference
2025-01-02,Syracuse,2,Minnesota-Duluth,6,0,Non-Conference
2025-01-02,Ohio State,0,Wisconsin,6,0,WCHA
2025-01-03,Bemidji State,4,Penn State,6,0,Non-Conference
2025-01-03,Syracuse,1,Minnesota-Duluth,2,0,Non-Conference
2025-01-03,Minnesota State,8,Lindenwood,1,0,Non-Conference
2025-01-03,Brown,1,Minnesota,9,0,Non-Conference
2025-01-03,Yale,8,Robert Morris,1,0,Non-Conference
2025-01-03,RIT,4,Post,1,0,Non-Conference
2025-01-03,Dartmouth,3,Harvard,2,1,ECAC
2025-01-03,Cornell,3,Clarkson,0,0,ECAC
2025-01-03,Princeton,7,Rensselaer,2,0,ECAC
2025-01-03,Colgate,2,St. Lawrence,3,0,ECAC
2025-01-03,Quinnipiac,8,Union,1,0,ECAC
2025-01-03,Boston University,3,Holy Cross,0,0,Hockey East
2025-01-03,Maine,4,New Hampshire,1,0,Hockey East
2025-01-03,Merrimack,1,Northeastern,3,0,Hockey East
2025-01-03,Providence,5,Vermont,3,0,Hockey East
2025-01-03,Connecticut,1,Boston College,1,1,Hockey East
2025-01-04,Bemidji State,5,Brown,4,0,Non-Conference
2025-01-04,Penn State,6,Minnesota,2,0,Non-Conference
2025-01-04,Minnesota State,4,Lindenwood,1,0,Non-Conference
2025-01-04,RIT,4,Post,3,0,Non-Conference
2025-01-04,Yale,5,Robert Morris,4,1,Non-Conference
2025-01-04,Saint Michael's,1,Mercyhurst,11,0,Non-Conference
2025-01-04,Colgate,4,Clarkson,2,0,ECAC
2025-01-04,Harvard,1,Dartmouth,1,1,ECAC
2025-01-04,Quinnipiac,4,Rensselaer,0,0,ECAC
2025-01-04,Cornell,2,St. Lawrence,2,1,ECAC
2025-01-04,Princeton,5,Union,2,0,ECAC
2025-01-04,Ohio State,3,Wisconsin,3,1,WCHA
2025-01-04,Providence,4,Merrimack,1,0,Hockey East
2025-01-04,Holy Cross,0,Northeastern,4,0,Hockey East
2025-01-05,Saint Michael's,0,Mercyhurst,6,0,Non-Conference
2025-01-05,Maine,0,Boston College,5,0,Hockey East
2025-01-05,Vermont,2,Connecticut,3,0,Hockey East
2025-01-07,New Hampshire,0,Boston College,4,0,Hockey East
2025-01-07,Yale,3,Northeastern,4,0,Non-Conference
2025-01-08,Sacred Heart,0,Brown,3,0,Non-Conference
2025-01-08,Dartmouth,9,Saint Anselm,1,0,Non-Conference
2025-01-10,RIT,0,Penn State,3,0,AHA
2025-01-10,Robert Morris,3,Lindenwood,3,1,AHA
2025-01-10,Mercyhurst,2,Syracuse,1,0,AHA
2025-01-10,Cornell,2,Colgate,1,0,ECAC
2025-01-10,Princeton,3,Quinnipiac,1,0,ECAC
2025-01-10,Clarkson,8,Rensselaer,3,0,ECAC
2025-01-10,St. Lawrence,4,Union,2,0,ECAC
2025-01-10,Stonehill,2,Long Island,0,0,NEWHA
2025-01-10,Sacred Heart,3,Saint Anselm,2,0,NEWHA
2025-01-10,Assumption,1,Franklin Pierce,3,0,NEWHA
2025-01-10,Saint Michael's,1,Post,3,0,NEWHA
2025-01-10,Maine,3,Harvard,2,1,Non-Conference
2025-01-10,St. Cloud State,0,Minnesota-Duluth,3,0,WCHA
2025-01-10,Minnesota State,2,Wisconsin,6,0,WCHA
2025-01-10,St. Thomas,2,Minnesota,4,0,WCHA
2025-01-10,Bemidji State,0,Ohio State,6,0,WCHA
2025-01-10,New Hampshire,5,Merrimack,3,0,Hockey East
2025-01-10,Holy Cross,1,Providence,3,0,Hockey East
2025-01-10,Boston University,2,Vermont,1,0,Hockey East
2025-01-11,RIT,2,Penn State,3,0,AHA
2025-01-11,Robert Morris,3,Lindenwood,0,0,AHA
2025-01-11,Mercyhurst,4,Syracuse,2,0,AHA
2025-01-11,Sacred Heart,2,Saint Anselm,2,1,NEWHA
2025-01-11,Stonehill,2,Long Island,1,0,NEWHA
2025-01-11,Saint Michael's,3,Post,2,0,NEWHA
2025-01-11,Franklin Pierce,2,Assumption,1,0,NEWHA
2025-01-11,St. Thomas,1,Minnesota,5,0,WCHA
2025-01-11,Minnesota State,1,Wisconsin,3,0,WCHA
2025-01-11,St. Cloud State,0,Minnesota-Duluth,3,0,WCHA
2025-01-11,Bemidji State,0,Ohio State,4,0,WCHA
2025-01-11,Colgate,4,Cornell,2,0,ECAC
2025-01-11,St. Lawrence,2,Rensselaer,0,0,ECAC
2025-01-11,Clarkson,4,Union,0,0,ECAC
2025-01-11,Holy Cross,0,Providence,1,0,Hockey East
2025-01-11,Boston University,2,Vermont,3,0,Hockey East
2025-01-11,Princeton,1,Yale,2,1,Non-Conference
2025-01-14,Harvard,1,Boston University,2,1,Non-Conference
2025-01-14,Cornell,6,Syracuse,3,0,Non-Conference
2025-01-14,Boston College,2,Northeastern,4,0,Non-Conference
2025-01-16,Franklin Pierce,2,Post,3,0,NEWHA
2025-01-17,Vermont,0,Boston College,3,0,Hockey East
2025-01-17,Maine,2,Connecticut,2,1,Hockey East
2025-01-17,Merrimack,1,Holy Cross,1,1,Hockey East
2025-01-17,Northeastern,1,Providence,5,0,Hockey East
2025-01-17,Stonehill,3,Sacred Heart,3,1,NEWHA
2025-01-17,Saint Anselm,3,Saint Michael's,1,0,NEWHA
2025-01-17,Long Island,3,Assumption,1,0,NEWHA
2025-01-17,Bemidji State,0,St. Cloud State,3,0,WCHA
2025-01-17,Minnesota State,3,Minnesota,8,0,WCHA
2025-01-17,Ohio State,3,Minnesota-Duluth,1,0,WCHA
2025-01-17,Wisconsin,6,St. Thomas,1,0,WCHA
2025-01-17,Lindenwood,1,Mercyhurst,3,0,AHA
2025-01-17,RIT,2,Robert Morris,0,0,AHA
2025-01-17,Penn State,1,Syracuse,0,1,AHA
2025-01-17,Yale,2,Clarkson,1,0,ECAC
2025-01-17,Quinnipiac,2,Colgate,4,0,ECAC
2025-01-17,Princeton,1,Cornell,6,0,ECAC
2025-01-17,Union,1,Dartmouth,2,0,ECAC
2025-01-17,Rensselaer,3,Harvard,1,0,ECAC
2025-01-17,Brown,4,St. Lawrence,3,1,ECAC
2025-01-18,Boston University,0,New Hampshire,2,0,Hockey East
2025-01-18,Holy Cross,2,Merrimack,2,1,Hockey East
2025-01-18,Providence,3,Northeastern,2,0,Hockey East
2025-01-18,Maine,0,Connecticut,3,0,Hockey East
2025-01-18,Bemidji State,2,St. Cloud State,3,0,WCHA
2025-01-18,Minnesota,5,Minnesota State,2,0,WCHA
2025-01-18,Wisconsin,11,St. Thomas,1,0,WCHA
2025-01-18,Ohio State,2,Minnesota-Duluth,1,0,WCHA
2025-01-18,Lindenwood,2,Mercyhurst,5,0,AHA
2025-01-18,Penn State,4,Syracuse,0,0,AHA
2025-01-18,RIT,4,Robert Morris,5,1,AHA
2025-01-18,Long Island,2,Assumption,1,0,NEWHA
2025-01-18,Stonehill,3,Sacred Heart,0,0,NEWHA
2025-01-18,Saint Anselm,1,Saint Michael's,2,0,NEWHA
2025-01-18,Brown,3,Clarkson,2,1,ECAC
2025-01-18,Princeton,0,Colgate,4,0,ECAC
2025-01-18,Quinnipiac,1,Cornell,4,0,ECAC
2025-01-18,Rensselaer,0,Dartmouth,0,1,ECAC
2025-01-18,Union,3,Harvard,2,1,ECAC
2025-01-18,Yale,0,St. Lawrence,1,0,ECAC
2025-01-21,Boston College,4,Harvard,1,0,Non-Conference
2025-01-21,Boston University,0,Northeastern,4,0,Non-Conference
2025-01-23,Minnesota-Duluth,2,St. Thomas,3,0,WCHA
2025-01-24,Assumption,1,Post,2,1,NEWHA
2025-01-24,Saint Michael's,2,Stonehill,4,0,NEWHA
2025-01-24,Saint Anselm,1,Franklin Pierce,1,1,NEWHA
2025-01-24,Syracuse,1,RIT,2,0,AHA
2025-01-24,Penn State,3,Lindenwood,1,0,AHA
2025-01-24,Robert Morris,0,Mercyhurst,7,0,AHA
2025-01-24,St. Lawrence,6,Clarkson,5,0,ECAC
2025-01-24,Cornell,2,Dartmouth,2,1,ECAC
2025-01-24,Colgate,3,Harvard,2,1,ECAC
2025-01-24,Brown,2,Princeton,2,1,ECAC
2025-01-24,Yale,1,Quinnipiac,2,0,ECAC
2025-01-24,Rensselaer,1,Union,2,0,ECAC
2025-01-24,Boston University,2,Holy Cross,0,0,Hockey East
2025-01-24,New Hampshire,1,Maine,2,0,Hockey East
2025-01-24,Boston College,1,Providence,4,0,Hockey East
2025-01-24,Connecticut,3,Vermont,2,1,Hockey East
2025-01-24,Merrimack,0,Northeastern,4,0,Hockey East
2025-01-24,Bemidji State,1,Minnesota,4,0,WCHA
2025-01-24,Minnesota State,2,Ohio State,5,0,WCHA
2025-01-24,Minnesota-Duluth,3,St. Thomas,4,1,WCHA
2025-01-25,Bemidji State,1,Minnesota,3,0,WCHA
2025-01-25,St. Cloud State,2,Wisconsin,5,0,WCHA
2025-01-25,Minnesota State,1,Ohio State,4,0,WCHA
2025-01-25,Robert Morris,0,Mercyhurst,6,0,AHA
2025-01-25,Penn State,4,Lindenwood,0,0,AHA
2025-01-25,RIT,2,Syracuse,3,0,AHA
2025-01-25,Saint Michael's,0,Stonehill,3,0,NEWHA
2025-01-25,Franklin Pierce,4,Saint Anselm,6,0,NEWHA
2025-01-25,Post,2,Assumption,0,0,NEWHA
2025-01-25,Sacred Heart,1,Long Island,0,0,NEWHA
2025-01-25,Providence,1,Boston College,2,1,Hockey East
2025-01-25,Holy Cross,0,Boston University,3,0,Hockey East
2025-01-25,New Hampshire,3,Maine,4,0,Hockey East
2025-01-25,Connecticut,1,Vermont,0,0,Hockey East
2025-01-25,Northeastern,4,Merrimack,1,0,Hockey East
2025-01-25,Colgate,4,Dartmouth,1,0,ECAC
2025-01-25,Cornell,6,Harvard,1,0,ECAC
2025-01-25,Yale,0,Princeton,3,0,ECAC
2025-01-25,Brown,0,Quinnipiac,0,1,ECAC
2025-01-25,Clarkson,1,St. Lawrence,0,0,ECAC
2025-01-25,Rensselaer,2,Union,3,0,Non-Conference
2025-01-26,Long Island,3,Sacred Heart,0,0,NEWHA
2025-01-26,St. Cloud State,2,Wisconsin,2,1,WCHA
2025-01-31,Maine,2,Providence,3,1,Hockey East
2025-01-31,New Hampshire,1,Holy Cross,0,0,Hockey East
2025-01-31,Boston College,2,Boston University,3,0,Hockey East
2025-01-31,Merrimack,1,Connecticut,3,0,Hockey East
2025-01-31,Vermont,1,Northeastern,0,0,Hockey East
2025-01-31,St. Thomas,2,St. Cloud State,5,0,WCHA
2025-01-31,Minnesota State,2,Bemidji State,3,1,WCHA
2025-01-31,Ohio State,1,Minnesota,3,0,WCHA
2025-01-31,Wisconsin,2,Minnesota-Duluth,1,1,WCHA
2025-01-31,Penn State,5,Robert Morris,0,0,AHA
2025-01-31,Lindenwood,2,Syracuse,5,0,AHA
2025-01-31,Mercyhurst,3,RIT,2,0,AHA
2025-01-31,Franklin Pierce,3,Stonehill,2,0,NEWHA
2025-01-31,Assumption,1,Sacred Heart,2,0,NEWHA
2025-01-31,Long Island,2,Saint Michael's,1,1,NEWHA
2025-01-31,Saint Anselm,3,Post,1,0,NEWHA
2025-01-31,Union,2,Brown,1,0,ECAC
2025-01-31,Clarkson,1,Colgate,2,1,ECAC
2025-01-31,St. Lawrence,0,Cornell,6,0,ECAC
2025-01-31,Dartmouth,2,Princeton,3,1,ECAC
2025-01-31,Harvard,1,Quinnipiac,2,0,ECAC
2025-01-31,Rensselaer,0,Yale,3,0,ECAC
2025-02-01,Maine,0,Holy Cross,1,1,Hockey East
2025-02-01,New Hampshire,3,Providence,4,1,Hockey East
2025-02-01,Vermont,1,Boston University,4,0,Hockey East
2025-02-01,Boston College,3,Merrimack,5,0,Hockey East
2025-02-01,Northeastern,4,Connecticut,3,1,Hockey East
2025-02-01,Lindenwood,0,Syracuse,5,0,AHA
2025-02-01,Mercyhurst,1,RIT,1,1,AHA
2025-02-01,Penn State,5,Robert Morris,2,0,AHA
2025-02-01,Ohio State,7,Minnesota,3,0,WCHA
2025-02-01,St. Cloud State,1,St. Thomas,2,1,WCHA
2025-02-01,Minnesota State,5,Bemidji State,1,0,WCHA
2025-02-01,Wisconsin,2,Minnesota-Duluth,1,0,WCHA
2025-02-01,Saint Anselm,0,Post,3,0,NEWHA
2025-02-01,Long Island,2,Saint Michael's,1,1,NEWHA
2025-02-01,Stonehill,2,Franklin Pierce,3,1,NEWHA
2025-02-01,Sacred Heart,2,Assumption,0,0,NEWHA
2025-02-01,Rensselaer,3,Brown,4,0,ECAC
2025-02-01,St. Lawrence,2,Colgate,3,1,ECAC
2025-02-01,Clarkson,1,Cornell,2,0,ECAC
2025-02-01,Harvard,0,Princeton,2,0,ECAC
2025-02-01,Dartmouth,0,Quinnipiac,3,0,ECAC
2025-02-01,Union,2,Yale,3,0,ECAC
2025-02-04,Boston University,3,Northeastern,2,1,Hockey East
2025-02-06,Merrimack,3,New Hampshire,4,1,Hockey East
2025-02-06,Vermont,1,Boston College,7,0,Hockey East
2025-02-07,RIT,4,Lindenwood,1,0,AHA
2025-02-07,Mercyhurst,3,Penn State,4,1,AHA
2025-02-07,Syracuse,4,Robert Morris,1,0,AHA
2025-02-07,St. Cloud State,3,Minnesota State,1,0,WCHA
2025-02-07,St. Thomas,4,Ohio State,5,1,WCHA
2025-02-07,Minnesota-Duluth,2,Bemidji State,0,0,WCHA
2025-02-07,Franklin Pierce,2,Long Island,3,0,NEWHA
2025-02-07,Post,2,Stonehill,5,0,NEWHA
2025-02-07,Saint Michael's,3,Sacred Heart,1,0,NEWHA
2025-02-07,Saint Anselm,0,Assumption,2,0,NEWHA
2025-02-07,Harvard,1,Brown,3,0,ECAC
2025-02-07,Princeton,2,Clarkson,2,1,ECAC
2025-02-07,Cornell,4,Rensselaer,0,0,ECAC
2025-02-07,Quinnipiac,1,St. Lawrence,2,0,ECAC
2025-02-07,Colgate,2,Union,1,0,ECAC
2025-02-07,Dartmouth,2,Yale,5,0,ECAC
2025-02-07,Connecticut,3,Boston University,1,0,Hockey East
2025-02-07,Providence,3,Holy Cross,2,0,Hockey East
2025-02-07,Northeastern,0,Maine,2,0,Hockey East
2025-02-08,St. Thomas,1,Ohio State,5,0,WCHA
2025-02-08,St. Cloud State,2,Minnesota State,2,1,WCHA
2025-02-08,Minnesota,2,Wisconsin,8,0,WCHA
2025-02-08,Minnesota-Duluth,6,Bemidji State,0,0,WCHA
2025-02-08,RIT,4,Lindenwood,3,1,AHA
2025-02-08,Mercyhurst,3,Penn State,2,0,AHA
2025-02-08,Syracuse,5,Robert Morris,1,0,AHA
2025-02-08,Assumption,3,Saint Anselm,4,0,NEWHA
2025-02-08,Saint Michael's,1,Sacred Heart,5,0,NEWHA
2025-02-08,Franklin Pierce,1,Long Island,2,0,NEWHA
2025-02-08,Stonehill,1,Post,0,0,NEWHA
2025-02-08,Dartmouth,0,Brown,3,0,ECAC
2025-02-08,Quinnipiac,1,Clarkson,3,0,ECAC
2025-02-08,Colgate,2,Rensselaer,3,1,ECAC
2025-02-08,Princeton,2,St. Lawrence,3,0,ECAC
2025-02-08,Cornell,2,Union,1,0,ECAC
2025-02-08,Harvard,0,Yale,3,0,ECAC
2025-02-08,Providence,1,Boston University,4,0,Hockey East
2025-02-08,New Hampshire,3,Merrimack,2,0,Hockey East
2025-02-08,Boston College,2,Vermont,3,0,Hockey East
2025-02-08,Holy Cross,0,Connecticut,1,0,Hockey East
2025-02-09,Minnesota,1,Wisconsin,6,0,WCHA
2025-02-13,Post,3,Long Island,5,0,NEWHA
2025-02-14,Long Island,2,Post,3,0,NEWHA
2025-02-14,Sacred Heart,2,Franklin Pierce,4,0,NEWHA
2025-02-14,Stonehill,2,Saint Anselm,2,1,NEWHA
2025-02-14,Saint Michael's,1,Assumption,3,0,NEWHA
2025-02-14,Maine,1,Merrimack,1,1,Hockey East
2025-02-14,Northeastern,5,Boston College,4,1,Hockey East
2025-02-14,Providence,3,Connecticut,1,0,Hockey East
2025-02-14,Boston University,2,New Hampshire,1,0,Hockey East
2025-02-14,Penn State,4,RIT,1,0,AHA
2025-02-14,Syracuse,3,Mercyhurst,5,0,AHA
2025-02-14,Lindenwood,5,Robert Morris,1,0,AHA
2025-02-14,Minnesota State,2,Minnesota-Duluth,8,0,WCHA
2025-02-14,St. Cloud State,4,Minnesota,3,0,WCHA
2025-02-14,Bemidji State,5,St. Thomas,0,0,WCHA
2025-02-14,Yale,0,Colgate,3,0,ECAC
2025-02-14,Brown,2,Cornell,6,0,ECAC
2025-02-14,St. Lawrence,0,Dartmouth,2,0,ECAC
2025-02-14,Clarkson,4,Harvard,0,0,ECAC
2025-02-14,Union,1,Princeton,2,1,ECAC
2025-02-14,Rensselaer,1,Quinnipiac,7,0,ECAC
2025-02-15,Sacred Heart,0,Franklin Pierce,2,0,NEWHA
2025-02-15,Saint Anselm,4,Stonehill,4,1,NEWHA
2025-02-15,Saint Michael's,1,Assumption,4,0,NEWHA
2025-02-15,Syracuse,4,Mercyhurst,2,0,AHA
2025-02-15,Lindenwood,6,Robert Morris,2,0,AHA
2025-02-15,Penn State,2,RIT,1,1,AHA
2025-02-15,Maine,3,Merrimack,0,0,Hockey East
2025-02-15,Connecticut,2,Providence,4,0,Hockey East
2025-02-15,New Hampshire,2,Boston University,2,1,Hockey East
2025-02-15,Vermont,0,Holy Cross,1,0,Hockey East
2025-02-15,Minnesota State,1,Minnesota-Duluth,4,0,WCHA
2025-02-15,Minnesota,2,St. Cloud State,1,0,WCHA
2025-02-15,Bemidji State,3,St. Thomas,4,0,WCHA
2025-02-15,Brown,1,Colgate,3,0,ECAC
2025-02-15,Yale,1,Cornell,1,1,ECAC
2025-02-15,Clarkson,4,Dartmouth,1,0,ECAC
2025-02-15,St. Lawrence,6,Harvard,2,0,ECAC
2025-02-15,Rensselaer,4,Princeton,3,0,ECAC
2025-02-15,Union,1,Quinnipiac,3,0,ECAC
2025-02-16,Boston College,,Northeastern,,0,Hockey East
2025-02-16,Vermont,,Holy Cross,,0,Hockey East
2025-02-21,Northeastern,,Vermont,,0,Hockey East
2025-02-21,Boston University,,Connecticut,,0,Hockey East
2025-02-21,Holy Cross,,Maine,,0,Hockey East
2025-02-21,Providence,,Merrimack,,0,Hockey East
2025-02-21,New Hampshire,,Boston College,,0,Hockey East
2025-02-21,Stonehill,,Assumption,,0,NEWHA
2025-02-21,Long Island,,Saint Anselm,,0,NEWHA
2025-02-21,Post,,Sacred Heart,,0,NEWHA
2025-02-21,Franklin Pierce,,Saint Michael's,,0,NEWHA
2025-02-21,Wisconsin,,Bemidji State,,0,WCHA
2025-02-21,Minnesota-Duluth,,Minnesota,,0,WCHA
2025-02-21,St. Thomas,,Minnesota State,,0,WCHA
2025-02-21,St. Cloud State,,Ohio State,,0,WCHA
2025-02-22,Long Island,,Saint Anselm,,0,NEWHA
2025-02-22,Assumption,,Stonehill,,0,NEWHA
2025-02-22,Sacred Heart,,Post,,0,NEWHA
2025-02-22,Franklin Pierce,,Saint Michael's,,0,NEWHA
2025-02-22,Merrimack,,Providence,,0,Hockey East
2025-02-22,Northeastern,,Vermont,,0,Hockey East
2025-02-22,Connecticut,,Boston University,,0,Hockey East
2025-02-22,Boston College,,New Hampshire,,0,Hockey East
2025-02-22,Holy Cross,,Maine,,0,Hockey East
2025-02-22,Minnesota-Duluth,,Minnesota,,0,WCHA
2025-02-22,Wisconsin,,Bemidji State,,0,WCHA
2025-02-22,St. Cloud State,,Ohio State,,0,WCHA
2025-02-22,Minnesota State,,St. Thomas,,0,WCHA
2025-02-22,Harvard,,Quinnipiac,,0,Non-Conference
2025-02-22,Union,,Brown,,0,Non-Conference
2025-02-22,Rensselaer,,Princeton,,0,Non-Conference
2025-02-22,Dartmouth,,Yale,,0,Non-Conference
2025-02-22,Robert Morris,,Syracuse,,0,Non-Conference
2025-02-22,Lindenwood,,RIT,,0,Non-Conference
